collection||شعب الإيمان
hadith|1904|أخبرنا أبو الحسين بن الفضل أنا عبد الله بن جعفر ثنا يعقوب بن سفيان حدثني أحمد بن الخليل حدثني مسعود بن خلف حدثني حجاج بن محمد حدثني فضيل بن مرزوق قال سمعت أبا إسحاق يقول للشعبي يا شعبي وددت أنى أنجو من علمي كفافا
hadith|1905|وبإسناده ثنا يعقوب ثنا أبو زعيم ثنا سفيان عن صالح قال سمعت الشعبي يقول وددت أني أنجو منه كفافا
hadith|1906|أخبرنا أبو الحسين بن بشران أنا أبو عمرو بن السماك ثنا حنبل بن إسحاق حدثني أحمد بن حنبل ثنا أبو قطن قال سمعت بن عون يقول وددت أني خرجت منه كفافا يعني العلم قال أبو قطن قال شعبة ما أتى علي شيء مقيم أخاف أن يدخلني النار غيره
hadith|1907|أخبرنا أبو عبد الرحمن السلمي أنا أبو الحسن المحمودي ثنا محمد بن علي الحافظ ثنا محمد بن المثنى قال حدثني أبو الوليد ثنا أبو الأحوص قال سمعت بن شبرمة يقول % منوني الأجر العظيم وليتني % نجوت كفافا لا علي ولا ليا
hadith|1908|أخبرنا أبو الحسن علي بن أحمد بن عبدان أنا أحمد بن عبيد الصفار ثنا 1 بن عيسى بن أبي إياس ثنا سعيد بن سليمان عن عبد الله بن دكين عن جعفر بن محمد عن أبيه عن جده عن علي بن أبي طالب رضي الله عنه قال قال رسول الله صلى الله عليه وسلم يوشك أن يأتي على الناس زمان لا يبقى من الإسلام إلا إسمه ولا يبقى من القرآن إلا رسمه مساجدهم عامرة وهي خراب من الهدى علماؤهم أشر من تحت أديم السماء من عندهم يمدح الفتنة
hadith|1909|أخبرنا أبو سعد الماليني أنا أبو أحمد بن عدي ثنا عيسى بن سليمان القرشي ثنا بشر بن الوليد ثنا عبد الله بن دكين فذكره بإسناده موقوفا قال أبو أحمد حدثناه عبدالسلام إدريس بن سهيل ثنا محمد بن يحيى الأزدي ثنا يزيد بن هارون ثنا عبد الله بن دكين فذكره بإسناده عن علي قال قال النبي صلى الله عليه وسلم يوشك أو لا يبقى من الإسلام إلا إسمه فذكره غير أنه قال فقهاؤهم بدل قوله علماؤهم
hadith|1910|أخبرنا علي بن أحمد بن عبدان أنا أحمد بن 2 ثنا حفص بن محمد بن نجيح البصري ثنا بشر بن مهران عن شريك بن عبد الله النخعي عن الأعمش عن أبي وائل قال خطب على الناس بالكوفة فسمعته يقول في خطبته أيها الناس إنه من يتفقر افتقر ومن يعمر يبتلى ومن لا يستعد للبلاء إذا ابتلى لا يصبر ومن ملك استأثر ومن لا يستشر يندم وكان يقول من وراء هذا الكلام يوشك أن يبقى من الإسلام إلا إسمه ومن القرآن إلا رسمه وكان يقول ألا لا يستحي الرجل أن يتعلم ومن سئل عما لا يعلم أن يقول لا أعلم مساجدكم يومئذ عامرة وقلوبكم وأبدانكم مخربة من الهدى شر من تحت ظل السماء فقهاؤكم منهم تبدأ الفتنة وفيهم تعود فقام رجل فقال ففيم يا أمير المؤمنين قال إذا كان الفقه في رذالكم والفاحشة في خيارهم والملك في صغاركم فعند ذلك تقوم الساعة هذا موقوف وإسناده إلى شريك مجهول والأول منقطع والله أعلم
hadith|1911|أخبرنا أبو الحسين بن القطان أنا عبد الله بن جعفر بن سفيان ثنا عبد الله بن عثمان ثنا عبد الله بن المبارك أنا إسماعيل بن عياش عن أسيد بن عبد الرحمن عن عقيل بن عبد الله عن عطاء بن يزيد الليثي قال أكثر الناس 1 قال إنكم أكثرتم في أرأيت ارايت لا تعلموا لغير الله ترجون الثواب من الله ولا يعجبن أحدكم علمه وإن كثر فإنه لا يبلغ عند عظمة الله 2 من قوائم ذباب
hadith|1912|أخبرنا أبو عبد الله الحافظ ثنا إبراهيم بن محمد بن يحيى ثنا الحسين بن هارون المراغي ثنا إبراهيم بن يوسف الرازي ثنا المسيب بن واضح قال سمعت بن المبارك في طريق الروم يقول يا مسيب أن فساد العوام من قبل الخواص وإن الناس على خمس طبقات من أولهم الزهاد وهم ملوك هذه الأمة والثاني العلماء وهم ورثة الأنبياء والثالث الولاة وهم الرعاة والرابع التجار وهم أمناء الله في الأرض والخامس الغزاة وهم سيف الله في الأرض وإذا كان الزاهد راغبا فبمن يقتدي الناس وإذا كان العالم طامعا فبمن يهتدي الناس وإذا كان الراعي جائرا فإلى من يلتجىء الناس وإذا كان التاجر خائنا فبمن يأمن الناس وإذا كان الغازي مرايا فمتى يرجوا الظفر
hadith|1913|حدثنا أبو عبد الرحمن السلمي ثنا عبد الله بن محمد بن حمدان العكبري ثنا أبو صالح محمد بن أحمد بن ثابت ثنا أبو الأحوص محمد بن الهيثم القاضي ثنا يعقوب بن كعب ثنا يحيى بن اليمان عن الحسن الخرساني عن بن عباس قال يأتي على الناس زمان يكون فيه علماء ينقبضون من الفقهاء وينبسطون عند الكبراء أولئك الجبارون أعداء الرحمن
hadith|1914|سمعت أبا عبد الرحمن السلمي يقول سمعت أبا الحسن الكادزي يقول سمعت محمد بن إسحاق بن خزيمة يقول سمعت يونس بن الأعلى يقول أخبرنا بن وهب ثنا المنذر بن عبد الله الحزامي عن هشام بن عروة عن أبيه قال يقال ما شر شيء من البطالة في العالم
hadith|1915|وأخبرنا أبو الحسين بن الفضل أنا عبد الله بن جعفر ثنا يعقوب بن سفيان ثنا بن أبي عمر قال قال سفيان قال بعض الأمراء لأبي حازم إرفع إلي حاجتك قال هيهات هيهات رفعتها إلى من لا تحول الحوائج دونه فما أعطاني منها قنعت وما زوى عني منها رضيت قال يقال بن شهاب أنه لحلدى وما علمت أن هذه عنده قال أبو حازم فقلت لو كنت غنيا عرفتني ثم قلت في نفسي لا ينجو مني فقلت كان العلماء فيما مضى يطلبهم السلطان وهم يفرون منهم وإن العلماء اليوم طلبوا حتى إذا جمعوه بحذافيره أتوا به أبواب السلاطين والسلاطين يفرون منهم وهم يطلبونهم
hadith|1916|حدثنا أبو سعد الزاهد أنا أبو الحسن علي بن عبد الله بن جهضم بمكة ثنا أبو بكر محمد بن عيسى ثنا علي بن عبد الحميد الغضايري قال سمعت محمد بن السماك يقول كم من مذكر بالله ناس لله وكم من مخوف بالله جريء على الله وكم من داع إلى الله فار من الله وكم من تال كتاب الله منسلخ من آيات الله
hadith|1917|أخبرا أبو بكر أحمد بن الحسين وأبو سعيد محمد بن موسى قالا ثنا أبو العباس محمد بن يعقوب ثنا محمد بن إسحاق الصغاني ثنا سعيد بن عامر عن هشام الدستوائي قال قرأت في كتاب بلغني أنه من كلام عيسى بن مريم صلوات الله عليه تعملون للدنيا وأنتم ترزقون فيها بغير العمل ولا تعملون للآخرة وأنتم لا ترزقون فيها إلا بالعمل ويلكم علماء السوء الأجر تأخذون والعمل تضيعون يوشك رب العمل أن يطلب عمله وتوشكون أن تخرجوا من الدنيا العريضة إلى ظلمة القبر وضيقه الله نهاكم الخطايا كما أمركم بالصيام والصلاة كيف يكون من أهل العلم من سخط رزقه واحتقر منزلته وعلم أن ذلك من علم الله وقدرته كيف يكون من اتهم الله في اقضاله فليس يرضى بشيء أصابه كيف يكون من أهل العلم من دنياه آثر عنده من آخرته وهو في دنياه أفضل رغبة كيف يكون من أهل العلم من مصيره إلى آخرته وهو مقبل على دنياه وما بصره انتهى إليه أو قال أحب إليه مما ينفعه كيف يكون من أهل العلم من يطلب الكلام ليخبر به ولا يطلبه ليعمل به
